 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,136,136,136,22.861,8.613,1
2,0.000,106,106,106,12.911,37.813,1
3,0.000,103,103,103,37.396,47.375,1
4,0.000,255,255,255,30.322,16.425,1
5,0.000,255,255,255,31.857,16.690,1
6,0.000,255,255,255,28.072,25.187,1
7,0.000,255,255,255,27.145,28.019,1
8,0.000,255,255,255,25.954,32.387,1
9,0.000,107,107,107,37.151,30.878,1
10,0.000,255,255,255,39.375,28.019,2
11,0.000,255,255,255,22.381,40.089,2
12,0.000,255,255,255,28.892,22.460,3
13,0.000,255,255,255,40.725,23.334,3
14,0.000,255,255,255,39.295,28.416,3
15,0.000,255,255,255,33.657,25.637,3
