 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,161,161,161,17.402,12.138,1
2,0.000,86,86,86,13.006,38.449,1
3,0.000,110,110,110,42.683,44.167,1
4,0.000,222,222,222,14.413,19.555,3
5,0.000,255,255,255,26.624,25.094,4
6,0.000,255,255,255,35.054,29.382,4
7,0.000,255,255,255,37.307,24.813,4
8,0.000,255,255,255,35.389,22.199,4
9,0.000,255,255,255,41.362,25.410,4
10,0.000,255,255,255,44.622,27.668,4
11,0.000,255,255,255,45.023,28.637,4
12,0.000,215,215,215,26.957,40.401,4
13,0.000,200,200,200,18.331,38.440,4
14,0.000,220,220,220,13.222,23.096,4
15,0.000,208,208,208,13.072,28.399,4
16,0.000,170,170,170,12.384,31.257,4
17,0.000,251,251,251,18.877,22.907,4
